which_UN_goal,Keywords,Concern w.r.t. precision,Concern w.r.t. recall,"python_checker (default = string_match, other_options=nltk.word_tokenize + match; lower_case+remove_non_alphabet+string_match",example words
peace_justice_and_strong_institutions,Battlefield,,,,
peace_justice_and_strong_institutions,blog,low precision,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
peace_justice_and_strong_institutions,conflict,,,,
peace_justice_and_strong_institutions,court,,,,
peace_justice_and_strong_institutions,crises,,,"lambda keyword, title: keyword.lower() in title.lower().split()",
peace_justice_and_strong_institutions,crisis,,,"lambda keyword, title: keyword.lower() in title.lower().split()",
peace_justice_and_strong_institutions,emergenc,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
peace_justice_and_strong_institutions,humanit,,,,"humanities, humanity"
peace_justice_and_strong_institutions,justice,,,,
peace_justice_and_strong_institutions,law,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
peace_justice_and_strong_institutions,legal,,,,
peace_justice_and_strong_institutions,peace,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
peace_justice_and_strong_institutions,supreme court,,,,
peace_justice_and_strong_institutions,terroris,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
partnership,battlefield,,,,
partnership,conflict,,,,
partnership,war,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
disinformation_and_fake_news,claim verification,,,,
disinformation_and_fake_news,disinformation,,,,
disinformation_and_fake_news,fact check,,,,
disinformation_and_fake_news,fake news,,,,
disinformation_and_fake_news,false claims,,,,
disinformation_and_fake_news,media bias,,,,
disinformation_and_fake_news,misinformation,,,,
disinformation_and_fake_news,propaganda,,,,
disinformation_and_fake_news,rumor,,,,
disinformation_and_fake_news,rumour,,,,
hate_speech,abusive,,,,
hate_speech,aggression,,,,
hate_speech,aggressive,,,,
hate_speech,bullying,,,,cyberbullying
hate_speech,detoxi,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",detoxification
hate_speech,harmful,low precision,,,
hate_speech,harmful memes,,,,
hate_speech,hate,,,,
hate_speech,hateful,,,,hateful memes
hate_speech,hostile,,,,
hate_speech,insults,,,,
hate_speech,offensive,,,,
hate_speech,profanity,,,,
hate_speech,sexis,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
hate_speech,toxic,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",detoxic
hate_speech,transphobia,,,,
privacy_protection,de-identif,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
privacy_protection,privacy,,,,
privacy_protection,differentially private,,,,
privacy_protection,differential priva,,,,
privacy_protection,differentially-private,,,,
